country,ISO Country code,population,surface area (Km2),,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),,"GDP (billions PPP)",GDP per capita (PPP),"GDP growth (annual %)","health expenditure % of GDP","health expenditure per person","education expenditure % of GDP","education expenditure per person ",school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),,political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Ethiopia,ETH,"105,000,000","1,000,000",,33.0,26.7,0.463,4.18,32.3,,177.5,"1,946",10.2,4.0,66,-,-,8,5.7,90.6,17.70,,7,6,-1.69,-0.7,-1.0,-0.450,-0.56,37.60,37.70,31.10,76.50,52.80,20.00,38.8
Fiji,FJI,"900,000","18,274",,-,-,0.741,-,49,,8.3,"9,268",4.3,3.6,331,-,-,-,7.9,68.2,32.60,,3,3,0.79,0.1,-0.2,-0.250,0.36,47.10,34.80,68.30,81.40,62.00,50.00,16.0
Finland,FIN,"6,000,000","303,815",,27.2,31.3,0.920,7.79,81.3,,231.4,"42,165",0.4,9.4,"3,669",7.2,"3,570",19,9,2.3,57.10,,1,1,1.07,1.9,1.8,2.030,2.22,82.70,89.80,89.00,66.50,74.10,80.00,42.0
France,FRA,"67,000,000","549,970",,29.3,30.4,0.901,6.64,73.9,,2733.7,"42,314",1.1,11.1,"4,542",5.5,"2,373",16,10,2.7,57.00,,1,2,0.21,1.4,1.2,1.440,1.26,72.70,65.10,84.00,47.30,63.90,70.00,39.0
Gabon,GAB,"1,900,000","257,667",,42.2,17.5,0.702,4.78,40.9,,35.9,"19,057",4,2.7,481,-,-,-,18.5,84.6,22.60,,7,5,-0.09,-0.9,-0.8,-0.680,-0.81,27.80,33.40,29.90,74.30,58.00,40.00,17.1
"Gambia, The",GMB,"2,100,000","10,120",,50.2,-,0.460,-,-,,3.4,"1,667",4.4,6.6,-,-,-,9,29.7,74,29.40,,4,5,-,-,-,-,-,38.80,36.80,34.40,71.90,52.30,50.00,10.3
Georgia,GEO,"3,700,000","69,700",,40.1,31.1,0.780,4.45,55.40,,37.2,"10,044",2.8,7.9,718,-,-,15,11.6,73.3,29.80,,3,3,-0.37,0.6,1.1,0.330,0.74,64.20,61.80,62.80,87.00,76.20,60.00,16.0
Germany,DEU,"83,000,000","348,672",,27.0,29.8,0.936,7.07,79.6,,3980.3,"48,111",1.5,11.2,"5,357",4.9,"2,369",17,4.3,41.3,44.20,,1,1,0.58,1.7,1.8,1.610,1.84,78.00,75.30,81.00,61.30,74.20,70.00,37.0
Ghana,GHA,"29,000,000","227,533",,42.3,21.4,0.592,5.48,40.2,,121.7,"4,412",3.5,5.9,249,6.2,89,12,5.8,79,26.50,,1,2,0.09,-0.1,-0.1,0.130,-0.23,43.70,32.90,48.90,83.50,56.00,60.00,12.7
Greece,GRC,"11,000,000","130,647",,36.7,23.6,0.870,5.15,64.1,,289.4,"26,669",-0.2,8.4,"2,204",-,-,18,23.9,20.9,51.30,,2,2,-0.13,0.3,0.2,0.080,-0.14,59.00,37.90,52.30,60.40,57.30,40.00,18.3
Grenada,GRD,"108,000",344,,-,-,0.772,-,-,,-,-,-,5.0,677,-,-,17,-,-,-,,1,2,1.03,-0.2,-0.1,0.440,0.48,-,-,-,-,-,-,33.3
Guatemala,GTM,"17,000,000","107,159",,53.0,34.2,0.650,6.33,42.5,,131.7,"7,899",4,5.7,444,2.9,108,11,2.4,95.3,12.50,,4,4,-0.57,-0.6,-0.3,-1.060,-0.74,33.10,27.30,40.40,79.20,63.40,50.00,12.7
Guinea,GIN,"13,000,000","245,717",,39.4,-,0.459,4.87,28.3,,16.0,"1,265",0.1,4.5,57,2.4,18,9,6.8,80.6,25.40,,5,5,-0.61,-1.0,-0.8,-1.230,-1.01,28.20,26.90,32.40,65.90,52.20,40.00,21.9
Guinea-Bissau,GNB,"1,700,000","28,120",,-,-,0.455,-,-,,2.9,"1,730",4.8,6.9,100,-,-,-,6.5,85.6,21.90,,5,5,-0.6,-1.8,-1.2,-1.440,-1.56,53.50,27.30,31.10,86.40,56.90,30.00,13.7
