name,index year,overall score,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom,HDI Rank (2017),Country,year,hdi_value,iso3c,date,iso2c,NY.GDP.PCAP.PP.CD,NY.GNP.PCAP.KD.ZG,NY.GNP.PCAP.PP.CD,SI.POV.GINI,SP.POP.TOTL,country,hdi,efree,population,gni_per_cap,gni_per_cap_percent,gdp,gini,gdp_z,gini_z,hdi_z,efree_z,gni_z,gdp_01,hdi_01,efree_01,gini_01,gdp_log01,gni_01,first_gini_year,last_gini_year,years_of_gini,first_gini_value,last_gini_value,gini_change,gini_change_by_year,avg_gini,gini_category,first_efree_year,last_efree_year,years_of_efree,first_efree_value,last_efree_value,efree_change,efree_change_by_year,avg_efree
Colombia,2017,69.7,63.8,39.6,25.2,80.1,74.2,89.8,77.1,77.9,77,81.6,80,70,90,Colombia,2017,0.747,COL,2017,CO,14552.0085613812,-0.86196787275577,14170,NA,49065615,Colombia,0.747,69.7,49065615,14170,-0.86196787275577,14552.0085613812,NA,0.015454489220282447,NA,0.4917627336309074,0.9920466658609034,-1.4084395463089222e-4,0.15093962074994496,0.7061340941512126,0.7330623306233062,NA,0.6515905272932855,0.152429554027069,2000,2016,16,58.7,50.8,-7.900000000000006,-0.49375000000000036,54.16,more equal,2000,2017,17,63.3,69.7,6.400000000000006,0.37647058823529445,65.38333333333334
Cuba,2017,33.9,32.4,41.8,10,51.3,0,81.2,20,20,66,64.5,10,10,73,Cuba,2017,0.777,CUB,2017,CU,NA,NA,NA,NA,11484636,Cuba,0.777,33.9,11484636,NA,NA,NA,NA,NA,NA,0.6627280490409768,-2.4903089051361826,NA,NA,0.7489300998573467,0.24796747967479668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,31.3,33.9,2.599999999999998,0.1529411764705881,30.377777777777776
Czech Republic,2017,73.3,70.3,55.9,55.9,82.9,45.3,92,67.2,77.7,85.8,87,80,80,NA,NA,2017,NA,CZE,2017,CZ,36327.2523444699,NA,34450,NA,10591323,Czech Republic,NA,73.3,10591323,34450,NA,36327.2523444699,NA,1.3954428852191227,NA,NA,1.3422276730002747,1.2800479396671485,0.3839289206355607,NA,0.7818428184281841,NA,0.8225363739578181,0.3774129132460617,2004,2015,11,27.5,25.9,-1.6000000000000014,-0.1454545454545456,26.416666666666668,more equal,2000,2017,17,68.6,73.3,4.700000000000003,0.2764705882352943,69.32777777777778
Denmark,2017,75.1,86.7,84.9,68.5,37.2,5.7,95.4,93.9,85.8,85.5,87,90,80,11,Denmark,2017,0.929,DNK,2017,DK,51364.1447000533,NA,52390,NA,5769603,Denmark,0.929,75.1,5769603,52390,NA,51364.1447000533,NA,2.348393730192183,NA,1.5289523137853276,1.5173181765699602,2.4125226328710303,0.5448196577167049,0.9657631954350928,0.8062330623306231,NA,0.8872590926520901,0.5764366540936321,2003,2015,12,25.6,28.2,2.599999999999998,0.21666666666666648,26.7,less equal,2000,2017,17,68.3,75.1,6.799999999999997,0.39999999999999986,75.07777777777778
Dominican Republic,2017,62.9,56.1,30.9,25.3,84.6,90.2,90.1,52.8,56.2,76.7,77,75,40,94,Dominican Republic,2017,0.736,DOM,2017,DO,16029.6237067323,4.81305161391251,15290,NA,10766998,Dominican Republic,0.736,62.9,10766998,15290,4.81305161391251,16029.6237067323,NA,0.10909714941958068,NA,0.429075451313882,0.330593652375423,0.07055991727102952,0.16674970864816194,0.6904422253922967,0.640921409214092,NA,0.6696615514099087,0.16485467051253605,2000,2016,16,52,45.3,-6.700000000000003,-0.4187500000000002,48.470588235294116,more equal,2000,2017,17,59,62.9,3.8999999999999986,0.22941176470588226,58.922222222222224
Ecuador,2017,49.3,38.7,33.9,22.3,79.1,46.1,56.4,55.4,47.3,67.7,69.7,35,40,86,Ecuador,2017,0.752,ECU,2017,EC,11617.4288537517,1.09675320655904,11350,NA,16624858,Ecuador,0.752,49.3,16624858,11350,1.09675320655904,11617.4288537517,NA,-0.1705221172417534,NA,0.520256952865919,-0.9923123745955371,-0.17815526061209727,0.11954040068380115,0.7132667617689016,0.45663956639566383,NA,0.6095056845154025,0.12114488573330374,2000,2016,16,56.4,45,-11.399999999999999,-0.7124999999999999,49.6,more equal,2000,2017,17,59.8,49.3,-10.5,-0.6176470588235294,51.87222222222222
El Salvador,2017,64.1,45.3,31.7,35.4,79,85.9,74.7,57.3,54.5,79.2,86.5,80,60,121,El Salvador,2017,0.674,SLV,2017,SV,8006.05921945185,-10.3721894769634,7540,NA,6377853,El Salvador,0.674,64.1,6377853,7540,-10.3721894769634,8006.05921945185,NA,-0.3993897358383735,NA,0.0757471327997392,0.44732065475521315,-0.4186641001386742,0.0808997089374631,0.601997146932953,0.657181571815718,NA,0.5399366571600369,0.07887730197470601,2000,2016,16,51.5,40,-11.5,-0.71875,45.78235294117647,more equal,2000,2017,17,76.3,64.1,-12.200000000000003,-0.7176470588235295,69.36111111111111
Ethiopia,2017,52.7,32.6,37.6,29.6,77.1,90.3,86.5,50,57.2,65.7,65.1,20,20,173,Ethiopia,2017,0.463,ETH,2017,ET,1899.20812562765,7.27341812552041,1890,NA,104957438,Ethiopia,0.463,52.7,104957438,1890,7.27341812552041,1899.20812562765,NA,-0.7864064659158193,NA,-1.1267089189177477,-0.6615858678527966,-0.7753241902502647,0.0155580312492978,0.3009985734664765,0.5027100271002709,NA,0.27109123583273953,0.01619702684712669,2004,2015,11,29.8,39.1,9.3,0.8454545454545456,34.03333333333333,less equal,2000,2017,17,50.2,52.7,2.5,0.14705882352941177,51.227777777777774
Finland,2017,74,90.6,90,82.7,66.6,0,77.3,90.2,53.4,85.1,87,85,80,15,Finland,2017,0.92,FIN,2017,FI,44865.8409125116,NA,45400,NA,5511303,Finland,0.92,74,5511303,45400,NA,44865.8409125116,NA,1.9365690034606573,NA,1.4776627191623068,1.410318424388486,1.9712741320073106,0.4752895406266161,0.9529243937232527,0.7913279132791327,NA,0.8619838788136723,0.4988906145995119,2003,2015,12,27.7,27.1,-0.5999999999999979,-0.04999999999999982,27.56153846153846,more equal,2000,2017,17,64.3,74,9.700000000000003,0.5705882352941178,72.73333333333333
France,2017,63.3,85,69.7,72.7,47.6,2,57,78,44.1,81.6,82,70,70,24,France,2017,0.901,FRA,2017,FR,42850.3862801105,NA,43790,NA,67118648,France,0.901,63.3,67118648,43790,NA,42850.3862801105,NA,1.8088412024274643,NA,1.369384686069263,0.3695026531686864,1.8696417877454237,0.45372471368681194,0.9258202567760343,0.6463414634146339,NA,0.8533954579251662,0.481029509651653,2003,2015,12,31.4,32.7,1.3000000000000043,0.10833333333333368,32.09230769230769,less equal,2000,2017,17,57.4,63.3,5.899999999999999,0.3470588235294117,61.827777777777776
