name,index year,overall score,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom,HDI Rank (2017),Country,year,hdi_value,iso3c,date,iso2c,NY.GDP.PCAP.PP.CD,NY.GNP.PCAP.KD.ZG,NY.GNP.PCAP.PP.CD,SI.POV.GINI,SP.POP.TOTL,country,hdi,efree,population,gni_per_cap,gni_per_cap_percent,gdp,gini,gdp_z,gini_z,hdi_z,efree_z,gni_z,gdp_01,hdi_01,efree_01,gini_01,gdp_log01,gni_01,first_gini_year,last_gini_year,years_of_gini,first_gini_value,last_gini_value,gini_change,gini_change_by_year,avg_gini,gini_category,first_efree_year,last_efree_year,years_of_efree,first_efree_value,last_efree_value,efree_change,efree_change_by_year,avg_efree
Indonesia,2008,53.2,30,24,NA,77.5,89.7,NA,49.1,50.3,68.2,73,30,40,116,Indonesia,2008,0.646,IDN,2008,ID,7486.01947001863,NA,7220,NA,236159276,Indonesia,0.646,53.2,236159276,7220,NA,7486.01947001863,NA,-0.4323468327519491,NA,-0.08382049491632555,-0.6129496168612172,-0.43886431763172007,0.07533542234025695,0.5620542082738945,0.5094850948509485,NA,0.5273869428002154,0.075327268693144,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,55.2,61.9,6.699999999999996,0.3941176470588233,55.42777777777778
Iraq,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,Iraq,2008,0.643,IRQ,2008,IQ,11736.7381584753,NA,12360,NA,29111417,Iraq,0.643,NA,29111417,12360,NA,11736.7381584753,NA,-0.16296098691901845,NA,-0.10091702645733248,NA,-0.11439832414967138,0.12081697841832827,0.5577746077032811,NA,NA,0.6114149112325217,0.13234967827823385,2006,2012,6,28.6,29.5,0.8999999999999986,0.14999999999999977,29.05,less equal,2000,2002,2,17.2,15.6,-1.5999999999999996,-0.7999999999999998,16.666666666666664
Israel,2008,66.3,70,59,NA,55.9,35.1,NA,68.6,66,81.8,86.6,80,60,22,Israel,2008,0.88,ISR,2008,IL,27399.4476428399,-0.607511726021386,26870,NA,7308800,Israel,0.88,66.3,7308800,26870,-0.607511726021386,27399.4476428399,NA,0.829650510505891,NA,1.2497089652822144,0.6613201591181629,0.8015552878006256,0.288403791839357,0.8958630527817404,0.686991869918699,NA,0.7698336874948165,0.2933214998890615,2001,2012,11,38.9,41.4,2.5,0.22727272727272727,41.12,less equal,2000,2017,17,65.5,69.7,4.200000000000003,0.24705882352941194,66.58333333333333
Italy,2008,62.6,50,49,NA,54.3,29.4,NA,77,74.5,80.6,81,70,60,28,Italy,2008,0.868,ITA,2008,IT,35402.9168527156,-2.67650501109298,35080,33.8,58826731,Italy,0.868,62.6,58826731,35080,-2.67650501109298,35402.9168527156,33.8,1.3368638738731526,-0.5158468449306111,1.1813228391181865,0.3014119017804756,1.3198171178565825,0.37403877744228375,0.8787446504992867,0.6368563685636855,0.36213991769547327,0.8177202727339136,0.3844020412691369,2003,2015,12,34.9,35.4,0.5,0.041666666666666664,34.4,less equal,2000,2017,17,61.9,62.5,0.6000000000000014,0.035294117647058906,62.18888888888889
Japan,2008,73,70,76,NA,70.3,56.2,NA,88.1,85.1,94.3,80,60,50,19,Japan,2008,0.881,JPN,2008,JP,34798.7658977271,-1.55263882650084,35710,32.1,128063000,Japan,0.881,73,128063000,35710,-1.55263882650084,34798.7658977271,32.1,1.2985762975952124,-0.6945847369938476,1.2554078091292167,1.3130459224053272,1.3595862960460166,0.3675745233824823,0.8972895863052782,0.7777777777777777,0.32716049382716056,0.8145040030472129,0.3913911692922121,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,70.7,69.6,-1.1000000000000085,-0.06470588235294168,70.93333333333334
Jordan,2008,64.1,55,53,NA,83.7,53.2,NA,56.3,74.6,80.4,74.8,50,60,95,Jordan,2008,0.736,JOR,2008,JO,9332.54246167348,1.20910687362041,9510,32.6,6489822,Jordan,0.736,64.1,6489822,9510,1.20910687362041,9332.54246167348,32.6,-0.31532493729984173,-0.6420147687399544,0.429075451313882,0.44732065475521315,-0.2943065111971108,0.09509272578695718,0.6904422253922967,0.657181571815718,0.33744855967078197,0.5685837759522487,0.10073219436432217,2002,2010,8,37,33.7,-3.299999999999997,-0.41249999999999964,34.3,more equal,2000,2017,17,67.5,66.7,-0.7999999999999972,-0.0470588235294116,67.03333333333333
Kazakhstan,2008,61.1,30,26,NA,80.1,84.7,NA,56.8,85.5,71.9,86.2,30,60,58,Kazakhstan,2008,0.759,KAZ,2008,KZ,18513.9254122489,-2.12957889938238,15830,28.5,15674000,Kazakhstan,0.759,61.1,15674000,15830,-2.12957889938238,18513.9254122489,28.5,0.26653775306671695,-1.073088508421879,0.5601488597949351,0.1555031488057374,0.10464778429054436,0.19333107420432985,0.7232524964336663,0.616531165311653,0.2530864197530865,0.6965850570758181,0.17084535167517195,2001,2015,14,36,26.9,-9.100000000000001,-0.6500000000000001,30.586666666666666,more equal,2000,2017,17,50.4,69,18.6,1.0941176470588236,58.93333333333334
Kenya,2008,59.3,35,22,NA,78.2,84.8,NA,65.6,60.1,72.2,75,50,50,142,Kenya,2008,0.523,KEN,2008,KE,2243.36907274976,-2.14701142132456,2240,NA,39148416,Kenya,0.523,59.3,39148416,2240,-2.14701142132456,2243.36907274976,NA,-0.7645955453072826,NA,-0.7847782880976094,-0.019587354763948895,-0.7532302023672458,0.019240461577826454,0.3865905848787447,0.5921409214092139,NA,0.302211047040032,0.020079875748835144,2005,2015,10,46.5,40.8,-5.700000000000003,-0.5700000000000003,43.65,more equal,2000,2017,17,59.7,53.5,-6.200000000000003,-0.3647058823529413,57.72222222222222
Kyrgyz Republic,2008,61.1,30,22,NA,93.9,76.1,NA,60.7,71.3,75.6,81.4,50,50,NA,NA,2008,NA,KGZ,2008,KG,2681.1221868103,4.8511376838605,2570,31.5,5318700,Kyrgyz Republic,NA,61.1,5318700,2570,4.8511376838605,2681.1221868103,31.5,-0.7368532971040703,-0.7576686988985196,NA,0.1555031488057374,-0.7323987280775422,0.023924303126683102,NA,0.616531165311653,0.3148148148148149,0.335519888647161,0.023740847570445974,2003,2016,13,28.7,26.8,-1.8999999999999986,-0.14615384615384605,30.392857142857142,more equal,2003,2017,14,56.8,61.1,4.300000000000004,0.30714285714285744,60.053333333333335
Libya,2008,38.7,10,27,NA,81.7,63.5,NA,20,20,74.9,39.6,30,20,108,Libya,2008,0.757,LBY,2008,LY,27843.1256449368,NA,28070,NA,6053078,Libya,0.757,38.7,6053078,28070,NA,27843.1256449368,NA,0.8577682436781451,NA,0.5487511721009305,-2.02340089561702,0.8773061033995474,0.293151028109726,0.7203994293865906,0.3130081300813008,NA,0.7728352481638666,0.306634124694919,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2012,12,34.7,35.9,1.1999999999999957,0.09999999999999964,36.16153846153846
Madagascar,2008,62.4,50,31,NA,80.9,86.4,NA,56,48.1,72.2,79.6,70,50,161,Madagascar,2008,0.5,MDG,2008,MG,1463.09481203637,4.32943769860441,1460,NA,19996469,Madagascar,0.5,62.4,19996469,1460,4.32943769860441,1463.09481203637,NA,-0.8140447930956037,NA,-0.9158516965786625,0.2819574013838436,-0.802468232506545,0.010891735128041908,0.3537803138373752,0.6341463414634145,NA,0.22234290642933208,0.011426669625027735,2001,2012,11,47.4,42.6,-4.799999999999997,-0.4363636363636361,43.075,more equal,2000,2017,17,54.4,57.4,3,0.17647058823529413,60.516666666666666
Malawi,2008,52.7,40,27,NA,70.2,44.3,NA,52.2,58.6,69.9,64.6,50,50,171,Malawi,2008,0.417,MWI,2008,MW,910.917398854143,4.45412540185615,910,NA,14271234,Malawi,0.417,52.7,14271234,910,4.45412540185615,910.917398854143,NA,-0.8490385883575388,NA,-1.3888557358798541,-0.6615858678527966,-0.8371873563227176,0.004983584101512783,0.2353780313837375,0.5027100271002709,NA,0.13379851013800473,0.005325049922343022,2004,2010,6,39.9,45.5,5.600000000000001,0.9333333333333336,42.7,less equal,2000,2017,17,57.4,52.2,-5.199999999999996,-0.3058823529411762,54.522222222222226
Malaysia,2008,63.9,50,50,NA,82.2,80.8,NA,69.3,72.1,78.6,76.2,40,40,57,Malaysia,2008,0.761,MYS,2008,MY,19873.1708931017,1.86169355776866,19280,45.5,27111069,Malaysia,0.761,63.9,27111069,19280,1.86169355776866,19873.1708931017,45.5,0.35267883187968907,0.7142904122104906,0.5715465474889397,0.42786615435858183,0.32243137913744474,0.20787463826777933,0.7261055634807418,0.654471544715447,0.6028806584362141,0.7098235342440176,0.20911914799201242,2004,2015,11,46.1,41,-5.100000000000001,-0.4636363636363638,43.983333333333334,more equal,2000,2017,17,66,73.8,7.799999999999997,0.4588235294117645,65.13333333333333
Mali,2008,55.6,30,28,NA,69.3,81.5,NA,42.1,66,79.9,68.6,50,40,182,Mali,2008,0.39,MLI,2008,ML,1737.71475229955,1.78710891994361,1700,NA,14138216,Mali,0.39,55.6,14138216,1700,1.78710891994361,1737.71475229955,NA,-0.7966409773382158,NA,-1.5427245197489163,-0.3794956121016361,-0.7873180693867606,0.013830095233394178,0.19686162624821688,0.5420054200542005,NA,0.2544858074677949,0.014089194586199246,2001,2009,8,39.9,33,-6.899999999999999,-0.8624999999999998,37.266666666666666,more equal,2000,2017,17,60.3,58.6,-1.6999999999999957,-0.09999999999999976,56.95
Mexico,2008,66.2,50,33,NA,83.4,83.7,NA,82.9,61.9,77.7,79,50,60,74,Mexico,2008,0.742,MEX,2008,MX,14551.0452776003,-0.127002262068928,14520,44.6,113661809,Mexico,0.742,66.2,113661809,14520,-0.127002262068928,14551.0452776003,44.6,0.015393441892732947,0.619664469353483,0.46326851439589584,0.6515929089198476,0.021953143928387986,0.15092931387044736,0.6990014265335236,0.6856368563685636,0.5843621399176956,0.6515781575844497,0.15631240292877746,2000,2016,16,51.4,43.4,-8,-0.5,46.98,more equal,2000,2017,17,59.3,63.6,4.300000000000004,0.2529411764705885,65.13888888888889
Morocco,2008,55.6,35,32,NA,65.4,73.2,NA,76.1,31.9,79.8,62.6,60,40,123,Morocco,2008,0.602,MAR,2008,MA,5866.56421559029,4.82717238855315,5850,NA,31596855,Morocco,0.602,55.6,31596855,5850,4.82717238855315,5866.56421559029,NA,-0.5349784947077199,NA,-0.3345696241844273,-0.3794956121016361,-0.5253464987738226,0.05800768311106975,0.4992867332382311,0.5420054200542005,NA,0.48183671033581205,0.06012868870645662,2000,2013,13,40.6,39.5,-1.1000000000000014,-0.08461538461538473,40.266666666666666,more equal,2000,2017,17,63.2,61.5,-1.7000000000000028,-0.10000000000000017,58.544444444444444
Mozambique,2008,55.4,30,28,NA,78.1,85.2,NA,53.8,32.9,73.6,72.8,50,50,180,Mozambique,2008,0.388,MOZ,2008,MZ,823.786448125489,4.48471238307174,780,45.6,22846758,Mozambique,0.388,55.4,22846758,780,4.48471238307174,823.786448125489,45.6,-0.8545604416206132,0.7248044058612695,-1.5541222074429208,-0.3989501124982682,-0.8453936946792674,0.004051306171085973,0.19400855920114124,0.5392953929539294,0.6049382716049384,0.11501154951400484,0.0038828489017084535,2002,2014,12,47,54,7,0.5833333333333334,48.86666666666667,less equal,2000,2017,17,52.2,49.9,-2.3000000000000043,-0.13529411764705906,55.27777777777778
Nepal,2008,54.1,30,25,NA,86.5,92,NA,60.9,46.3,78.5,61.4,30,30,149,Nepal,2008,0.502,NPL,2008,NP,1777.23356569811,5.00936695116094,1790,NA,26475859,Nepal,0.502,54.1,26475859,1790,5.00936695116094,1777.23356569811,NA,-0.7941365046233794,NA,-0.9044540088846579,-0.5254043650763743,-0.7816367582168415,0.014252935995029718,0.3566333808844508,0.5216802168021679,NA,0.2586877203505517,0.015087641446638562,2003,2010,7,43.8,32.8,-11,-1.5714285714285714,38.3,more equal,2000,2017,17,51.3,55.1,3.8000000000000043,0.22352941176470614,51.97222222222222
Netherlands,2008,77.4,90,87,NA,51.6,38.2,NA,88,65.8,86.9,86,90,90,10,Netherlands,2008,0.906,NLD,2008,NL,45843.89223408,-1.46970049448417,44990,29.3,16445593,Netherlands,0.906,77.4,16445593,44990,-1.46970049448417,45843.89223408,29.3,1.9985522119106098,-0.9889765592156498,1.3978789053042744,1.7410449311312266,1.9453926033443456,0.4857544288700899,0.9329529243937233,0.8373983739837397,0.2695473251028807,0.8660135385619553,0.4943421344575105,2004,2015,11,29.8,28.2,-1.6000000000000014,-0.1454545454545456,28.633333333333333,more equal,2000,2017,17,70.4,75.8,5.3999999999999915,0.3176470588235289,74.47777777777777
Nicaragua,2008,60.8,25,26,NA,79,77.6,NA,56.8,73.7,70.6,79.2,70,50,124,Nicaragua,2008,0.614,NIC,2008,NI,3931.05430059704,4.7248456367068,3930,NA,5594506,Nicaragua,0.614,60.8,5594506,3930,4.7248456367068,3931.05430059704,NA,-0.6576398641802284,NA,-0.26618349802039953,0.12632139821078933,-0.6465478037320975,0.037298243322103145,0.5164051355206848,0.6124661246612465,NA,0.407025601279985,0.038828489017084536,2001,2014,13,52.9,46.2,-6.699999999999996,-0.5153846153846151,47.95,more equal,2000,2017,17,56.9,59.2,2.3000000000000043,0.13529411764705906,59.72222222222222
Niger,2008,52.9,30,23,NA,66.4,89.3,NA,36.2,43.5,86,64.4,50,40,189,Niger,2008,0.303,NER,2008,NE,784.120484391905,5.2161529477133,780,NA,15228525,Niger,0.303,52.9,15228525,780,5.2161529477133,784.120484391905,NA,-0.8570742398684641,NA,-2.038523934438117,-0.6421313674561652,-0.8453936946792674,0.003626890940118348,0.07275320970042795,0.5054200542005419,NA,0.10579031604320657,0.0038828489017084535,2005,2014,9,44.4,34.3,-10.100000000000001,-1.1222222222222225,36.875,more equal,2000,2017,17,45.9,50.8,4.899999999999999,0.288235294117647,52.69444444444444
Nigeria,2008,55.1,30,22,NA,84.4,68.1,NA,52.9,86.6,73.8,63.4,30,40,157,Nigeria,2008,0.485,NGA,2008,NG,4525.21218238773,3.29577068905331,4200,NA,150347390,Nigeria,0.485,55.1,150347390,4200,3.29577068905331,4525.21218238773,NA,-0.6199855908030832,NA,-1.0013343542836972,-0.42813186309321555,-0.6295038702223401,0.04365557416436191,0.33238231098430815,0.535230352303523,NA,0.433327263971193,0.04182382959840249,2003,2009,6,40.1,43,2.8999999999999986,0.4833333333333331,41.55,less equal,2000,2017,17,53.1,57.1,4,0.23529411764705882,53.58888888888889
Pakistan,2008,55.6,30,22,NA,79.1,90.1,NA,70.8,56.4,72.2,65.2,40,30,150,Pakistan,2008,0.515,PAK,2008,PK,4104.90738166892,-0.150381223370673,4190,NA,163644603,Pakistan,0.515,55.6,163644603,4190,-0.150381223370673,4104.90738166892,NA,-0.6466220663140954,NA,-0.8303690388736279,-0.3794956121016361,-0.6301351270189978,0.0391584249138864,0.37517831669044227,0.5420054200542005,NA,0.4151120175982265,0.04171289105835367,2001,2015,14,30.4,33.5,3.1000000000000014,0.22142857142857153,31.5125,less equal,2000,2017,17,56.4,52.8,-3.6000000000000014,-0.21176470588235302,55.483333333333334
Papua New Guinea,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,Papua New Guinea,2008,0.503,PNG,2008,PG,2730.0234363873,NA,2580,NA,6787187,Papua New Guinea,0.503,NA,6787187,2580,NA,2730.0234363873,NA,-0.7337542201137813,NA,-0.8987551650376556,NA,-0.7317674712808846,0.024447533452642785,0.3580599144079886,NA,NA,0.33889731859628686,0.023851786110494787,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,55.8,50.9,-4.899999999999999,-0.288235294117647,53.85454545454545
Paraguay,2008,60,35,26,NA,96.6,90.8,NA,58.5,28,76.6,78.4,50,60,110,Paraguay,2008,0.664,PRY,2008,PY,6621.21916173953,6.41755041856081,6220,50.7,6047117,Paraguay,0.664,60,6047117,6220,6.41755041856081,6621.21916173953,50.7,-0.4871528501802462,1.2610180820509804,0.018758694329716077,0.048503396624262556,-0.5019899972974883,0.06608228972902554,0.5877318116975749,0.6016260162601625,0.7098765432098766,0.5044485747164811,0.0642334146882627,2001,2016,15,54.6,47.9,-6.700000000000003,-0.4466666666666669,51.33125,more equal,2000,2017,17,64,62.4,-1.6000000000000014,-0.09411764705882361,60.03333333333333
Peru,2008,63.8,40,33,NA,80.2,91.8,NA,65.7,47.5,85.9,73.4,60,60,89,Peru,2008,0.712,PER,2008,PE,8956.51528727598,8.97124090323716,8340,47.8,28641980,Peru,0.712,63.8,28641980,8340,8.97124090323716,8956.51528727598,47.8,-0.3391553541905947,0.9561122661783992,0.29230319898582646,0.4181389041602658,-0.36816355640605963,0.091069335326967,0.6562054208273894,0.6531165311653115,0.6502057613168725,0.5608989701297501,0.08775238517861104,2000,2016,16,49.4,43.8,-5.600000000000001,-0.3500000000000001,47.96470588235294,more equal,2000,2017,17,68.7,68.9,0.20000000000000284,0.011764705882353108,66.1
Philippines,2008,56,30,25,NA,75.8,90.2,NA,53.1,52.9,73.8,78.8,30,50,113,Philippines,2008,0.661,PHL,2008,PH,5100.53575573428,2.75345973631251,5990,NA,90751864,Philippines,0.661,56,90751864,5990,2.75345973631251,5100.53575573428,NA,-0.5835249264325,NA,0.0016621627887091397,-0.34058661130837276,-0.516508903620615,0.04981138293036095,0.5834522111269616,0.5474254742547424,NA,0.4556907462932606,0.061681828267140006,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,62.5,65.6,3.0999999999999943,0.18235294117647025,59.06111111111111
Poland,2008,60.3,50,37,NA,68.6,43.5,NA,54.2,61.3,82.3,86,60,60,33,Poland,2008,0.824,POL,2008,PL,18310.4432086685,5.4751043966339,17970,NA,38125759,Poland,0.824,60.3,38125759,17970,5.4751043966339,18310.4432086685,NA,0.25364223361672095,NA,0.9305737098500848,0.07768514721920992,0.23973673877528837,0.19115386890533803,0.8159771754636234,0.6056910569105689,NA,0.69451996540624406,0.19458619924561793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,60,68.3,8.299999999999997,0.4882352941176469,63.08888888888889
Portugal,2008,63.9,70,66,NA,61.3,32.6,NA,80.5,43.1,79.4,86,70,50,41,Portugal,2008,0.814,PRT,2008,PT,26631.5639632704,-0.629648390954117,25590,36.6,10558177,Portugal,0.814,63.9,10558177,25590,-0.629648390954117,26631.5639632704,36.6,0.7809865057379732,-0.2214550227088086,0.8735852713800617,0.42786615435858183,0.7207544178284422,0.2801876413025977,0.8017118402282454,0.654471544715447,0.4197530864197532,0.7645220873740967,0.2791213667628134,2003,2015,12,38.7,35.5,-3.200000000000003,-0.2666666666666669,36.753846153846155,more equal,2000,2017,17,65.5,62.6,-2.8999999999999986,-0.17058823529411757,64.21111111111111
Romania,2008,61.7,30,31,NA,85.6,70.8,NA,74.9,56.3,72.5,86,60,50,52,Romania,2008,0.795,ROU,2008,RO,16726.732376278,10.9144934968021,16310,36.4,20537875,Romania,0.795,61.7,20537875,16310,10.9144934968021,16726.732376278,36.4,0.15327584538763112,-0.24248301001036618,0.7653072382870184,0.21386664999563282,0.1349481105301131,0.17420858545705373,0.7746077032810272,0.624661246612466,0.4156378600823046,0.6776160767556909,0.176170401597515,2006,2015,9,39.6,35.9,-3.700000000000003,-0.4111111111111114,36.58,more equal,2000,2017,17,52.1,69.7,17.6,1.035294117647059,59.644444444444446
Rwanda,2008,54.2,30,25,NA,76.9,75.6,NA,51.8,58.9,73.3,70.6,40,40,158,Rwanda,2008,0.455,RWA,2008,RW,1213.79672297029,7.91595770336706,1210,NA,9708169,Rwanda,0.455,54.2,9708169,1210,7.91595770336706,1213.79672297029,NA,-0.8298438570915282,NA,-1.1722996696937662,-0.5156771148780583,-0.8182496524229871,0.008224312075839962,0.2895863052781741,0.5230352303523035,NA,0.18743753396704732,0.00865320612380741,2000,2013,13,48.5,45.1,-3.3999999999999986,-0.26153846153846144,48.2,more equal,2000,2017,17,42.3,67.6,25.299999999999997,1.4882352941176469,56.416666666666664
Saudi Arabia,2008,62.5,50,33,NA,99.7,69.1,NA,73,77.2,76.7,76.8,30,40,39,Saudi Arabia,2008,0.791,SAU,2008,SA,44841.9293177201,3.86935555789623,45630,NA,25940770,Saudi Arabia,0.791,62.5,25940770,45630,3.86935555789623,44841.9293177201,NA,1.9350536255539486,NA,0.7425118628990092,0.2916846515821596,1.9857930383304374,0.47503369294081677,0.768901569186876,0.63550135501355,NA,0.8618842643772047,0.5014422010206345,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,66.5,64.4,-2.0999999999999943,-0.12352941176470555,63.083333333333336
Senegal,2008,58.3,50,33,NA,65.2,82.3,NA,55.5,43.9,81.4,71.6,50,50,164,Senegal,2008,0.445,SEN,2008,SN,2081.00767270268,1.17431012865636,2070,NA,12203957,Senegal,0.445,58.3,12203957,2070,1.17431012865636,2081.00767270268,NA,-0.774885067218266,NA,-1.2292881081637894,-0.11685985674710772,-0.7639615679104264,0.01750323790757775,0.27532097004279604,0.578590785907859,NA,0.28817298194444374,0.018193920568005326,2001,2011,10,41.2,40.3,-0.9000000000000057,-0.09000000000000057,40.233333333333334,more equal,2000,2017,17,58.9,55.9,-3,-0.17647058823529413,57.13333333333333
Serbia,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,Serbia,2008,0.757,SRB,2008,RS,11921.8129614292,5.01357672264675,11590,NA,7350222,Serbia,0.757,NA,7350222,11590,5.01357672264675,11921.8129614292,NA,-0.15123202153923682,NA,0.5487511721009305,NA,-0.1630050974923129,0.12279722944083052,0.7203994293865906,NA,NA,0.6143384698249454,0.12380741069447526,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,2017,15,46.6,58.9,12.299999999999997,0.8199999999999998,56.236363636363635
Sierra Leone,2008,48.3,10,22,NA,81,81.8,NA,49.5,33.9,74.4,60.2,30,40,184,Sierra Leone,2008,0.373,SLE,2008,SL,1110.91866201553,5.5996790233762,1200,NA,6165372,Sierra Leone,0.373,48.3,6165372,1200,5.5996790233762,1110.91866201553,NA,-0.8363636706805126,NA,-1.6396048651479556,-1.089584876578696,-0.8188809092196447,0.007123544266569572,0.17261055634807418,0.4430894308943088,NA,0.1708881998809166,0.008542267583758598,2003,2011,8,40.2,34,-6.200000000000003,-0.7750000000000004,37.1,more equal,2003,2017,14,42.2,52.6,10.399999999999999,0.7428571428571428,48.06
South Africa,2008,63.4,50,46,NA,69.5,76.8,NA,71.4,59.1,77.2,74.2,50,60,113,South Africa,2008,0.633,ZAF,2008,ZA,11518.1044905899,2.30373501557916,11160,63,50412129,South Africa,0.633,63.4,50412129,11160,2.30373501557916,11518.1044905899,63,-0.17681671811826385,2.5542393010967537,-0.1579054649273556,0.3792299033670024,-0.19014913974859324,0.11847765649295884,0.543509272467903,0.6476964769647695,0.962962962962963,0.6079012472768042,0.11903705347237631,2000,2014,14,57.8,63,5.200000000000003,0.3714285714285716,62.4,less equal,2000,2017,17,63.7,62.3,-1.4000000000000057,-0.08235294117647092,63.416666666666664
Spain,2008,69.1,70,68,NA,54.5,56.2,NA,77.9,50.2,78.1,86,70,80,26,Spain,2008,0.856,ESP,2008,ES,33463.6540993469,-0.735540590892072,32570,34.2,45954106,Spain,0.856,69.1,45954106,32570,-0.735540590892072,33463.6540993469,34.2,1.213964671315432,-0.47379087032749595,1.1129367129541587,0.9336831646710073,1.1613716618955043,0.3532891832837776,0.8616262482168331,0.724932249322493,0.37037037037037046,0.8071937041935194,0.3565564677168849,2003,2015,12,31.8,36.2,4.400000000000002,0.36666666666666686,34.53846153846154,less equal,2000,2017,17,65.9,63.6,-2.3000000000000043,-0.13529411764705906,68.21666666666667
Sri Lanka,2008,58.4,50,31,NA,73.5,81.7,NA,71.6,71.4,65.4,69.6,30,40,76,Sri Lanka,2008,0.738,LKA,2008,LK,7419.35903279926,3.99399562521721,7240,NA,19945832,Sri Lanka,0.738,58.4,19945832,7240,3.99399562521721,7419.35903279926,NA,-0.4365713838408505,NA,0.4404731390078866,-0.1071326065487917,-0.4376018040384047,0.07462217344382567,0.6932952924393724,0.5799457994579944,NA,0.5257155757500167,0.07554914577324162,2002,2016,14,41,39.8,-1.2000000000000028,-0.08571428571428592,39.339999999999996,more equal,2000,2017,17,63.2,57.4,-5.800000000000004,-0.3411764705882355,59.855555555555554
Sudan,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,Sudan,2008,0.463,SDN,2008,SD,3187.31097610988,5.28126818732146,2970,NA,32955496,Sudan,0.463,NA,32955496,2970,5.28126818732146,3187.31097610988,NA,-0.7047739935437297,NA,-1.1267089189177477,NA,-0.707148456211235,0.029340388145232914,0.3009985734664765,NA,NA,0.36783567361172875,0.028178389172398493,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,47.2,48.8,1.5999999999999943,0.0941176470588232,48
Sweden,2008,70.8,90,92,NA,32.7,3.9,NA,95.6,65,82.8,86,80,80,7,Sweden,2008,0.901,SWE,2008,SE,41853.6961806504,-0.907457526788932,43380,28.1,9219637,Sweden,0.901,70.8,9219637,43380,-0.907457526788932,41853.6961806504,28.1,1.7456767765609642,-1.1151444830249935,1.369384686069263,1.0990464180423776,1.8437602590824589,0.4430603954918312,0.9258202567760343,0.7479674796747966,0.24485596707818938,0.8489978182892167,0.47648102950965165,2003,2015,12,25.3,29.2,3.8999999999999986,0.3249999999999999,27.415384615384617,less equal,2000,2017,17,65.1,74.9,9.800000000000011,0.5764705882352947,70.86111111111111
Switzerland,2008,79.5,90,91,NA,68,61.6,NA,83.9,79.9,83.6,87.2,70,80,2,Switzerland,2008,0.917,CHE,2008,CH,52584.7349460344,-6.18613843308863,48960,33.8,7647675,Switzerland,0.917,79.5,7647675,48960,-6.18613843308863,52584.7349460344,33.8,2.425747646065742,-0.5158468449306111,1.4605661876212999,1.9453171852958595,2.1960015516174454,0.5578796477536113,0.9486447931526392,0.8658536585365852,0.36213991769547327,0.8916475697392463,0.5383847348568893,2006,2015,9,33.9,32.3,-1.6000000000000014,-0.17777777777777792,32.81,more equal,2000,2017,17,76.8,81.5,4.700000000000003,0.2764705882352943,79.74444444444444
Tajikistan,2008,54.4,30,22,NA,89.3,84.1,NA,44.4,60.2,65.8,77.8,30,40,127,Tajikistan,2008,0.618,TJK,2008,TJ,1913.51971334427,6.6353159768513,1890,NA,7309728,Tajikistan,0.618,54.4,7309728,1890,6.6353159768513,1913.51971334427,NA,-0.7854994806634846,NA,-0.2433881226323903,-0.49622261448142696,-0.7753241902502647,0.015711161420218618,0.522111269614836,0.5257452574525744,NA,0.2724940425688924,0.01619702684712669,2003,2015,12,32.7,34,1.2999999999999972,0.1083333333333331,32.660000000000004,less equal,2000,2017,17,44.8,58.2,13.400000000000006,0.7882352941176474,51.51111111111111
Tanzania,2008,56.5,30,29,NA,80.5,79.9,NA,48.2,48.4,75.4,73.2,50,50,154,Tanzania,2008,0.477,TZA,2008,TZ,1908.73737951768,2.46447282179373,1890,NA,43270144,Tanzania,0.477,56.5,43270144,1890,2.46447282179373,1908.73737951768,NA,-0.7858025571870924,NA,-1.0469251050597157,-0.29195036031679333,-0.7753241902502647,0.01565999172397201,0.3209700427960057,0.5542005420054199,NA,0.2720264538643475,0.01619702684712669,2000,2011,11,37.3,37.8,0.5,0.045454545454545456,38.46666666666666,less equal,2000,2017,17,56,58.6,2.6000000000000014,0.15294117647058833,57.51111111111111
